year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,8017,209,22,24,957,1212,61.71617162
2000,8019,2188,354,135,2247,4924,1.198212835
2000,8021,1749,79,71,1772,3671,0.62653228
2000,8023,1054,71,19,504,1648,33.37378641
2000,8025,511,28,51,855,1445,23.80622837
2000,8027,507,100,53,1451,2111,44.71814306
2000,8029,3264,852,198,8372,12686,40.2648589
2000,8031,122693,11624,2806,61224,198347,30.99063762
2000,8033,293,73,27,741,1134,39.50617284
2000,8035,27076,2230,912,56007,86225,33.55291389
2000,8037,6772,1045,206,7165,15188,2.587569134
2000,8039,2326,292,196,6151,8965,42.66592303
2000,8041,61799,7116,3548,128294,200757,33.12213273
2000,8043,5293,516,333,9914,16056,28.78051819
2000,8045,6087,1608,306,9103,17104,17.63330215
2000,8047,1099,276,84,1006,2465,3.772819473
2000,8049,2308,366,109,3570,6353,19.86463088
2000,8051,3059,927,122,3128,7236,0.953565506
2000,8053,188,51,11,316,566,22.61484099
2000,8055,1495,169,44,1466,3174,0.913673598
2000,8057,173,40,30,682,925,55.02702703
2000,8059,100970,10336,4047,120138,235491,8.139589199
2000,8061,211,13,16,728,968,53.40909091
2000,8063,809,58,49,2542,3458,50.1156738
2000,8065,1296,213,63,1056,2628,9.132420091
2000,8067,7864,2378,255,9993,20490,10.39043436
2000,8069,46055,8194,1859,62429,118537,13.81340847
2000,8071,3243,199,83,2569,6094,11.06005907
2000,8073,510,27,32,1630,2199,50.93224193
2000,8075,2296,140,129,5531,8096,39.95800395
2000,8077,15465,2235,958,32396,51054,33.16292553
2000,8079,168,19,5,294,486,25.92592593
2000,8081,1223,169,105,3840,5337,49.03503841
2000,8083,2556,530,140,6158,9384,38.38448423
2000,8085,4041,656,252,9266,14215,36.75694689
2000,8087,2885,211,180,5722,8998,31.52922872
2000,8089,2963,138,129,4082,7312,15.3036105
2000,8091,705,224,25,1279,2233,25.70532915
2000,8093,2393,404,191,3677,6665,19.2648162
2000,8095,564,48,35,1573,2220,45.45045045
2000,8097,4137,1013,85,2565,7800,20.15384615
2000,8099,1361,79,58,3026,4524,36.80371353
2000,8101,28888,1520,711,22827,53946,11.23530938
2000,8103,543,85,42,2185,2855,57.51313485
2000,8105,1707,179,78,3111,5075,27.66502463
2000,8107,4208,820,138,4472,9638,2.739157502
2000,8109,1145,261,45,1078,2529,2.649268486
2000,8111,149,58,19,210,436,13.99082569
2000,8113,1598,560,54,1043,3255,17.05069124
2000,8115,384,25,17,877,1303,37.83576362
2000,8117,5304,1131,136,4497,11068,7.291290206
2000,8119,2750,429,191,6477,9847,37.84909109
2000,8121,477,50,40,1878,2445,57.3006135
2000,8123,23436,2438,1258,37409,64541,21.649804
2000,8125,1082,60,60,3156,4358,47.59063791
2000,9001,193769,12664,4197,159659,370289,9.211723816
2000,9003,221167,14214,4707,127468,367556,25.49244197
2000,9005,41806,5413,947,39172,87338,3.015869381
2000,9007,43319,4039,780,29295,77433,18.11114124
2000,9009,197928,15567,4685,122919,341099,21.99038989
2000,9011,60449,6218,1312,41168,109147,17.66516716
2000,9013,33554,3711,730,24705,62700,14.11323764
2000,9015,24023,2626,606,16708,43963,16.63899188
2000,10001,22790,1082,294,24081,48247,2.67581404
2000,10003,127539,5767,1102,78587,212995,22.98269912
2000,10005,29739,1458,470,34620,66287,7.363434761
2000,11001,171923,10576,1322,18073,201894,76.20335424
2000,12001,47365,3226,1014,34124,85729,15.44518191
2000,12003,2392,53,99,5610,8154,39.46529311
2000,12005,18850,828,490,38637,58805,33.64849928
2000,12007,3075,84,100,5414,8673,26.9687536
2000,12009,97318,4470,1422,115185,218395,8.181048101
2000,12011,387703,7104,2434,177902,575143,36.4780585
2000,12013,2155,39,107,2873,5174,13.8770777
2000,12015,29645,1462,363,35426,66896,8.641772303
2000,12017,25525,1379,535,29767,57206,7.415306087
2000,12019,14632,562,423,41736,57353,47.25820794
2000,12021,29921,1400,391,60450,92162,33.1253662
2000,12023,7047,258,239,10964,18508,21.16382105
2000,12027,3320,157,84,4256,7817,11.97390303
2000,12029,1826,75,68,2697,4666,18.66695242
2000,12031,107864,2757,1917,152098,264636,16.71503499
